source,destination,fare,total_distance,intermediate_station_count,stations_between,source_code,destination_code
Dadar Metro,Hutatma Chowk,50,13.537 km,10,Siddhivinayak -> Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro,DDRM,HUC
Dadar Metro,Churchgate Metro,50,14.427 km,11,Siddhivinayak -> Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk,DDRM,CHGM
Dadar Metro,Vidhan Bhavan,50,15.163 km,12,Siddhivinayak -> Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro,DDRM,VIDB
Dadar Metro,Cuffe Parade,50,16.623 km,13,Siddhivinayak -> Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro -> Vidhan Bhavan,DDRM,CUP
Siddhivinayak,Aarey JVLR,60,18.984 km,12,Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri -> SEEPZ,SIDV,ARYJ
Siddhivinayak,SEEPZ,50,17.502 km,11,Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri,SIDV,SEPZ
Siddhivinayak,MIDC-Andheri,50,16.259 km,10,Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka,SIDV,MIDC
Siddhivinayak,Marol Naka,50,15.033 km,9,Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2,SIDV,MNK
Siddhivinayak,CSMI-Airport - T2,50,13.919 km,8,Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road,SIDV,CSIA
Siddhivinayak,Sahar Road,50,12.967 km,7,Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1,SIDV,SHRR
Siddhivinayak,CSMI Airport-T1,40,11.244 km,6,Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro,SIDV,CIAD
Siddhivinayak,Santacruz Metro,40,8.971 km,5,Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony,SIDV,STZM
Siddhivinayak,Bandra Colony,30,7.971 km,4,Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex,SIDV,VIDN
Siddhivinayak,Bandra-Kurla Complex,30,6.72 km,3,Dadar Metro -> Shitala Devi Mandir -> Dharavi,SIDV,BDRM
Siddhivinayak,Dharavi,20,4.896 km,2,Dadar Metro -> Shitala Devi Mandir,SIDV,DHAV
Siddhivinayak,Shitala Devi Mandir,20,3.085 km,1,Dadar Metro,SIDV,SDIT
Siddhivinayak,Dadar Metro,10,1.993 km,0,,SIDV,DDRM
Siddhivinayak,Worli,10,1.626 km,0,,SIDV,WOR
Siddhivinayak,Acharya Atre Chowk,20,3.108 km,1,Worli,SIDV,ACA
Siddhivinayak,Science Centre,20,3.949 km,2,Worli -> Acharya Atre Chowk,SIDV,SCMU
Siddhivinayak,Mahalaxmi Metro,30,5.317 km,3,Worli -> Acharya Atre Chowk -> Science Centre,SIDV,MLXM
Siddhivinayak,Jagannath Shankar Sheth Metro,30,6.404 km,4,Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro,SIDV,MCLM
Siddhivinayak,Grant Road Metro,30,7.45 km,5,Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro,SIDV,GTRM
Siddhivinayak,Girgaon,40,8.985 km,6,Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro,SIDV,GIRG
Siddhivinayak,Kalbadevi,40,9.704 km,7,Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon,SIDV,KLBD
Siddhivinayak,Chhatrapati Shivaji Maharaj Terminus Metro,40,10.604 km,8,Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi,SIDV,CSTM
Siddhivinayak,Hutatma Chowk,40,11.544 km,9,Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro,SIDV,HUC
Siddhivinayak,Churchgate Metro,50,12.434 km,10,Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk,SIDV,CHGM
Siddhivinayak,Vidhan Bhavan,50,13.17 km,11,Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro,SIDV,VIDB
Siddhivinayak,Cuffe Parade,50,14.63 km,12,Worli -> Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro -> Vidhan Bhavan,SIDV,CUP
Worli,Aarey JVLR,60,20.61 km,13,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri -> SEEPZ,WOR,ARYJ
Worli,SEEPZ,60,19.128 km,12,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri,WOR,SEPZ
Worli,MIDC-Andheri,50,17.885 km,11,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka,WOR,MIDC
Worli,Marol Naka,50,16.659 km,10,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2,WOR,MNK
Worli,CSMI-Airport - T2,50,15.545 km,9,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road,WOR,CSIA
Worli,Sahar Road,50,14.593 km,8,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1,WOR,SHRR
Worli,CSMI Airport-T1,50,12.87 km,7,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro,WOR,CIAD
Worli,Santacruz Metro,40,10.597 km,6,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony,WOR,STZM
Worli,Bandra Colony,40,9.597 km,5,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex,WOR,VIDN
Worli,Bandra-Kurla Complex,40,8.346 km,4,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi,WOR,BDRM
Worli,Dharavi,30,6.522 km,3,Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir,WOR,DHAV
Worli,Shitala Devi Mandir,20,4.711 km,2,Siddhivinayak -> Dadar Metro,WOR,SDIT
Worli,Dadar Metro,20,3.619 km,1,Siddhivinayak,WOR,DDRM
Worli,Siddhivinayak,10,1.626 km,0,,WOR,SIDV
Worli,Acharya Atre Chowk,10,1.482 km,0,,WOR,ACA
Worli,Science Centre,20,2.323 km,1,Acharya Atre Chowk,WOR,SCMU
Worli,Mahalaxmi Metro,20,3.691 km,2,Acharya Atre Chowk -> Science Centre,WOR,MLXM
Worli,Jagannath Shankar Sheth Metro,20,4.778 km,3,Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro,WOR,MCLM
Worli,Grant Road Metro,30,5.824 km,4,Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro,WOR,GTRM
Worli,Girgaon,30,7.359 km,5,Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro,WOR,GIRG
Worli,Kalbadevi,40,8.078 km,6,Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon,WOR,KLBD
Worli,Chhatrapati Shivaji Maharaj Terminus Metro,40,8.978 km,7,Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi,WOR,CSTM
Worli,Hutatma Chowk,40,9.918 km,8,Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro,WOR,HUC
Worli,Churchgate Metro,40,10.808 km,9,Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk,WOR,CHGM
Worli,Vidhan Bhavan,40,11.544 km,10,Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro,WOR,VIDB
Worli,Cuffe Parade,50,13.004 km,11,Acharya Atre Chowk -> Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro -> Vidhan Bhavan,WOR,CUP
Acharya Atre Chowk,Aarey JVLR,60,22.092 km,14,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri -> SEEPZ,ACA,ARYJ
Acharya Atre Chowk,SEEPZ,60,20.61 km,13,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri,ACA,SEPZ
Acharya Atre Chowk,MIDC-Andheri,60,19.367 km,12,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka,ACA,MIDC
Acharya Atre Chowk,Marol Naka,60,18.141 km,11,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2,ACA,MNK
Acharya Atre Chowk,CSMI-Airport - T2,50,17.027 km,10,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road,ACA,CSIA
Acharya Atre Chowk,Sahar Road,50,16.075 km,9,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1,ACA,SHRR
Acharya Atre Chowk,CSMI Airport-T1,50,14.352 km,8,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro,ACA,CIAD
Acharya Atre Chowk,Santacruz Metro,50,12.079 km,7,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony,ACA,STZM
Acharya Atre Chowk,Bandra Colony,40,11.079 km,6,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex,ACA,VIDN
Acharya Atre Chowk,Bandra-Kurla Complex,40,9.828 km,5,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi,ACA,BDRM
Acharya Atre Chowk,Dharavi,40,8.004 km,4,Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir,ACA,DHAV
Acharya Atre Chowk,Shitala Devi Mandir,30,6.193 km,3,Worli -> Siddhivinayak -> Dadar Metro,ACA,SDIT
Acharya Atre Chowk,Dadar Metro,20,5.101 km,2,Worli -> Siddhivinayak,ACA,DDRM
Acharya Atre Chowk,Siddhivinayak,20,3.108 km,1,Worli,ACA,SIDV
Acharya Atre Chowk,Worli,10,1.482 km,0,,ACA,WOR
Acharya Atre Chowk,Science Centre,10,0.841 km,0,,ACA,SCMU
Acharya Atre Chowk,Mahalaxmi Metro,20,2.209 km,1,Science Centre,ACA,MLXM
Acharya Atre Chowk,Jagannath Shankar Sheth Metro,20,3.296 km,2,Science Centre -> Mahalaxmi Metro,ACA,MCLM
Acharya Atre Chowk,Grant Road Metro,20,4.342 km,3,Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro,ACA,GTRM
Acharya Atre Chowk,Girgaon,30,5.877 km,4,Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro,ACA,GIRG
Acharya Atre Chowk,Kalbadevi,30,6.596 km,5,Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon,ACA,KLBD
Acharya Atre Chowk,Chhatrapati Shivaji Maharaj Terminus Metro,30,7.496 km,6,Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi,ACA,CSTM
Acharya Atre Chowk,Hutatma Chowk,40,8.436 km,7,Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro,ACA,HUC
Acharya Atre Chowk,Churchgate Metro,40,9.326 km,8,Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk,ACA,CHGM
Acharya Atre Chowk,Vidhan Bhavan,40,10.062 km,9,Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro,ACA,VIDB
Acharya Atre Chowk,Cuffe Parade,40,11.522 km,10,Science Centre -> Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro -> Girgaon -> Kalbadevi -> Chhatrapati Shivaji Maharaj Terminus Metro -> Hutatma Chowk -> Churchgate Metro -> Vidhan Bhavan,ACA,CUP
Science Centre,Aarey JVLR,60,22.933 km,15,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri -> SEEPZ,SCMU,ARYJ
Science Centre,SEEPZ,60,21.451 km,14,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka -> MIDC-Andheri,SCMU,SEPZ
Science Centre,MIDC-Andheri,60,20.208 km,13,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2 -> Marol Naka,SCMU,MIDC
Science Centre,Marol Naka,60,18.982 km,12,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road -> CSMI-Airport - T2,SCMU,MNK
Science Centre,CSMI-Airport - T2,50,17.868 km,11,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1 -> Sahar Road,SCMU,CSIA
Science Centre,Sahar Road,50,16.916 km,10,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro -> CSMI Airport-T1,SCMU,SHRR
Science Centre,CSMI Airport-T1,50,15.193 km,9,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony -> Santacruz Metro,SCMU,CIAD
Science Centre,Santacruz Metro,50,12.92 km,8,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex -> Bandra Colony,SCMU,STZM
Science Centre,Bandra Colony,40,11.92 km,7,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi -> Bandra-Kurla Complex,SCMU,VIDN
Science Centre,Bandra-Kurla Complex,40,10.669 km,6,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir -> Dharavi,SCMU,BDRM
Science Centre,Dharavi,40,8.845 km,5,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro -> Shitala Devi Mandir,SCMU,DHAV
Science Centre,Shitala Devi Mandir,30,7.034 km,4,Acharya Atre Chowk -> Worli -> Siddhivinayak -> Dadar Metro,SCMU,SDIT
Science Centre,Dadar Metro,30,5.942 km,3,Acharya Atre Chowk -> Worli -> Siddhivinayak,SCMU,DDRM
Science Centre,Siddhivinayak,20,3.949 km,2,Acharya Atre Chowk -> Worli,SCMU,SIDV
Science Centre,Worli,20,2.323 km,1,Acharya Atre Chowk,SCMU,WOR
Science Centre,Acharya Atre Chowk,10,0.841 km,0,,SCMU,ACA
Science Centre,Mahalaxmi Metro,10,1.368 km,0,,SCMU,MLXM
Science Centre,Jagannath Shankar Sheth Metro,20,2.455 km,1,Mahalaxmi Metro,SCMU,MCLM
Science Centre,Grant Road Metro,20,3.501 km,2,Mahalaxmi Metro -> Jagannath Shankar Sheth Metro,SCMU,GTRM
Science Centre,Girgaon,30,5.036 km,3,Mahalaxmi Metro -> Jagannath Shankar Sheth Metro -> Grant Road Metro,SCMU,GIRG
